nodeid,event,service,time
0,sent,/prefix/seq=1,0.050000000
0,sent,/prefix/seq=2,0.100000000
0,sent,/prefix/seq=3,0.150000000
0,sent,/prefix/seq=4,0.200000000
0,sent,/prefix/seq=5,0.250000000
0,received,/prefix/seq=0,0.295410498
0,sent,/prefix/seq=6,0.300000000
0,sent,/prefix/seq=7,0.350000000
0,received,/prefix/seq=2,0.395257202
0,sent,/prefix/seq=8,0.400000000
0,sent,/prefix/seq=9,0.450000000
0,sent,/prefix/seq=10,0.500000000
0,received,/prefix/seq=4,0.537461080
0,sent,/prefix/seq=11,0.550000000
0,sent,/prefix/seq=12,0.600000000
0,received,/prefix/seq=6,0.636753187
0,received,/prefix/seq=7,0.645361187
0,sent,/prefix/seq=13,0.650000000
0,received,/prefix/seq=1,0.692539619
0,sent,/prefix/seq=14,0.700000000
0,received,/prefix/seq=8,0.737427534
0,sent,/prefix/seq=15,0.750000000
0,sent,/prefix/seq=16,0.800000000
0,received,/prefix/seq=9,0.828469265
0,sent,/prefix/seq=17,0.850000000
0,received,/prefix/seq=10,0.878904784
0,sent,/prefix/seq=18,0.900000000
0,received,/prefix/seq=3,0.903543403
0,received,/prefix/seq=11,0.928732606
0,sent,/prefix/seq=19,0.950000000
0,received,/prefix/seq=12,0.978675173
0,sent,/prefix/seq=20,1.000000000
0,received,/prefix/seq=13,1.028434146
0,sent,/prefix/seq=21,1.050000000
0,received,/prefix/seq=14,1.078781843
0,sent,/prefix/seq=22,1.100000000
0,received,/prefix/seq=5,1.114493822
0,received,/prefix/seq=15,1.129114667
0,sent,/prefix/seq=23,1.150000000
0,received,/prefix/seq=16,1.178732909
0,sent,/prefix/seq=24,1.200000000
0,sent,/prefix/seq=25,1.250000000
0,received,/prefix/seq=17,1.270732855
0,received,/prefix/seq=18,1.279340855
0,sent,/prefix/seq=26,1.300000000
0,received,/prefix/seq=20,1.337052884
0,sent,/prefix/seq=27,1.350000000
0,received,/prefix/seq=19,1.370511264
0,sent,/prefix/seq=28,1.400000000
0,received,/prefix/seq=21,1.428710111
0,sent,/prefix/seq=29,1.450000000
0,sent,/prefix/seq=30,1.500000000
0,received,/prefix/seq=22,1.520179862
0,received,/prefix/seq=23,1.529135047
0,sent,/prefix/seq=31,1.550000000
0,received,/prefix/seq=24,1.578809926
0,sent,/prefix/seq=32,1.600000000
0,sent,/prefix/seq=33,1.650000000
0,received,/prefix/seq=25,1.670288122
0,received,/prefix/seq=26,1.678896122
0,sent,/prefix/seq=34,1.700000000
0,sent,/prefix/seq=35,1.750000000
0,received,/prefix/seq=27,1.770545070
0,received,/prefix/seq=28,1.779153070
0,sent,/prefix/seq=36,1.800000000
0,received,/prefix/seq=29,1.828768665
0,sent,/prefix/seq=37,1.850000000
0,sent,/prefix/seq=38,1.900000000
0,received,/prefix/seq=30,1.920138654
0,received,/prefix/seq=31,1.928746654
0,sent,/prefix/seq=39,1.950000000
0,received,/prefix/seq=32,1.979036728
0,sent,/prefix/seq=40,2.000000000
0,sent,/prefix/seq=41,2.050000000
0,received,/prefix/seq=33,2.070322523
0,received,/prefix/seq=35,2.087291142
0,sent,/prefix/seq=42,2.100000000
0,received,/prefix/seq=34,2.120283942
0,sent,/prefix/seq=43,2.150000000
0,received,/prefix/seq=36,2.178655901
0,sent,/prefix/seq=44,2.200000000
0,received,/prefix/seq=37,2.228630463
0,sent,/prefix/seq=45,2.250000000
0,sent,/prefix/seq=46,2.300000000
0,received,/prefix/seq=38,2.320091752
0,received,/prefix/seq=39,2.328699752
0,sent,/prefix/seq=47,2.350000000
0,received,/prefix/seq=40,2.378693062
0,sent,/prefix/seq=48,2.400000000
0,received,/prefix/seq=41,2.428923203
0,sent,/prefix/seq=49,2.450000000
0,received,/prefix/seq=43,2.487294901
0,sent,/prefix/seq=50,2.500000000
0,received,/prefix/seq=42,2.520536041
0,sent,/prefix/seq=51,2.550000000
0,received,/prefix/seq=44,2.578950682
0,sent,/prefix/seq=52,2.600000000
0,received,/prefix/seq=45,2.628444551
0,sent,/prefix/seq=53,2.650000000
0,received,/prefix/seq=47,2.686810258
0,sent,/prefix/seq=54,2.700000000
0,received,/prefix/seq=46,2.720536235
0,sent,/prefix/seq=55,2.750000000
0,received,/prefix/seq=48,2.779104072
0,sent,/prefix/seq=56,2.800000000
0,received,/prefix/seq=49,2.828683088
0,sent,/prefix/seq=57,2.850000000
0,received,/prefix/seq=51,2.886950290
0,sent,/prefix/seq=58,2.900000000
0,received,/prefix/seq=50,2.920581522
0,sent,/prefix/seq=59,2.950000000
0,received,/prefix/seq=52,2.978986533
0,sent,/prefix/seq=60,3.000000000
0,received,/prefix/seq=53,3.029021384
0,sent,/prefix/seq=61,3.050000000
0,received,/prefix/seq=55,3.086923125
0,sent,/prefix/seq=62,3.100000000
0,received,/prefix/seq=54,3.120212004
