nodeid,service,serviceCount,status,time
6,,20,Current Resource,0.020000000
7,,20,Current Resource,0.020000000
8,,5,Current Resource,0.020000000
6,/prefix/seq=0,19,Data Processing,0.030816000
6,0.208770,19,Computation time,0.030816000
6,,19,Current Resource,0.040000000
7,,20,Current Resource,0.040000000
8,,5,Current Resource,0.040000000
6,,19,Current Resource,0.060000000
7,,20,Current Resource,0.060000000
8,,5,Current Resource,0.060000000
6,,19,Current Resource,0.080000000
7,,20,Current Resource,0.080000000
8,,5,Current Resource,0.080000000
8,/prefix/seq=1,4,Data Processing,0.080816000
8,0.555924,4,Computation time,0.080816000
6,,19,Current Resource,0.100000000
7,,20,Current Resource,0.100000000
8,,4,Current Resource,0.100000000
6,,19,Current Resource,0.120000000
7,,20,Current Resource,0.120000000
8,,4,Current Resource,0.120000000
7,/prefix/seq=2,19,Data Processing,0.130816000
7,0.208617,19,Computation time,0.130816000
6,,19,Current Resource,0.140000000
7,,19,Current Resource,0.140000000
8,,4,Current Resource,0.140000000
6,,19,Current Resource,0.160000000
7,,19,Current Resource,0.160000000
8,,4,Current Resource,0.160000000
6,,19,Current Resource,0.180000000
7,,19,Current Resource,0.180000000
8,,4,Current Resource,0.180000000
8,/prefix/seq=3,3,Data Processing,0.180816000
8,0.666927,3,Computation time,0.180816000
6,,19,Current Resource,0.200000000
7,,19,Current Resource,0.200000000
8,,3,Current Resource,0.200000000
6,,19,Current Resource,0.220000000
7,,19,Current Resource,0.220000000
8,,3,Current Resource,0.220000000
6,/prefix/seq=4,18,Data Processing,0.230816000
6,0.250821,18,Computation time,0.230816000
6,/prefix/seq=0,19,Data Correction,0.239586498
6,,19,Current Resource,0.240000000
7,,19,Current Resource,0.240000000
8,,3,Current Resource,0.240000000
6,,19,Current Resource,0.260000000
7,,19,Current Resource,0.260000000
8,,3,Current Resource,0.260000000
6,,19,Current Resource,0.280000000
7,,19,Current Resource,0.280000000
8,,3,Current Resource,0.280000000
8,/prefix/seq=5,2,Data Processing,0.280816000
8,0.777878,2,Computation time,0.280816000
6,,19,Current Resource,0.300000000
7,,19,Current Resource,0.300000000
8,,2,Current Resource,0.300000000
6,,19,Current Resource,0.320000000
7,,19,Current Resource,0.320000000
8,,2,Current Resource,0.320000000
6,/prefix/seq=6,18,Data Processing,0.330816000
6,0.250113,18,Computation time,0.330816000
7,/prefix/seq=2,20,Data Correction,0.339433202
6,,18,Current Resource,0.340000000
7,,20,Current Resource,0.340000000
8,,2,Current Resource,0.340000000
6,,18,Current Resource,0.360000000
7,,20,Current Resource,0.360000000
8,,2,Current Resource,0.360000000
6,,18,Current Resource,0.380000000
7,,20,Current Resource,0.380000000
8,,2,Current Resource,0.380000000
7,/prefix/seq=7,19,Data Processing,0.380816000
7,0.208701,19,Computation time,0.380816000
6,,18,Current Resource,0.400000000
7,,19,Current Resource,0.400000000
8,,2,Current Resource,0.400000000
6,,18,Current Resource,0.420000000
7,,19,Current Resource,0.420000000
8,,2,Current Resource,0.420000000
7,/prefix/seq=8,18,Data Processing,0.430816000
7,0.250788,18,Computation time,0.430816000
6,,18,Current Resource,0.440000000
7,,18,Current Resource,0.440000000
8,,2,Current Resource,0.440000000
6,,18,Current Resource,0.460000000
7,,18,Current Resource,0.460000000
8,,2,Current Resource,0.460000000
6,,18,Current Resource,0.480000000
7,,18,Current Resource,0.480000000
8,,2,Current Resource,0.480000000
8,/prefix/seq=9,1,Data Processing,0.480816000
8,0.889051,1,Computation time,0.480816000
6,/prefix/seq=4,19,Data Correction,0.481637080
6,,19,Current Resource,0.500000000
7,,18,Current Resource,0.500000000
8,,1,Current Resource,0.500000000
6,,19,Current Resource,0.520000000
